Price,Num_of_rooms,Total_area,Living_space,WMO,name,log_price,Price_m_2,Price_m_2_cat,lat_object,lon_object,Flat_floor,Total_floor,расстояние_до_девяткино,расстояние_до_гражданский_проспект,расстояние_до_академическая,расстояние_до_политехническая,расстояние_до_площадь_мужества,расстояние_до_лесная,расстояние_до_выборгская,расстояние_до_площадь_ленина,расстояние_до_чернышевская,расстояние_до_площадь_восстания,расстояние_до_владимирская,расстояние_до_пушкинская,расстояние_до_технологический_институт,расстояние_до_балтийская,расстояние_до_нарвская,расстояние_до_кировский_завод,расстояние_до_автово,расстояние_до_ленинский_проспект,расстояние_до_проспект_ветеранов,расстояние_до_парнас,расстояние_до_проспект_просвещения,расстояние_до_озерки,расстояние_до_удельная,расстояние_до_пионерская,расстояние_до_чёрная_речка,расстояние_до_петроградская,расстояние_до_горьковская,расстояние_до_невский_проспект,расстояние_до_сенная_площадь,расстояние_до_технологический_институт_2,расстояние_до_фрунзенская,расстояние_до_московские_ворота,расстояние_до_электросила,расстояние_до_парк_победы,расстояние_до_московская,расстояние_до_звёздная,расстояние_до_купчино,расстояние_до_беговая,расстояние_до_зенит,расстояние_до_приморская,расстояние_до_василеостровская,расстояние_до_гостиный_двор,расстояние_до_маяковская,расстояние_до_площадь_александра_невского_1,расстояние_до_елизаровская,расстояние_до_ломоносовская,расстояние_до_пролетарская,расстояние_до_обухово,расстояние_до_рыбацкое,расстояние_до_спасская,расстояние_до_достоевская,расстояние_до_лиговский_проспект,расстояние_до_площадь_александра_невского_2,расстояние_до_новочеркасская,расстояние_до_ладожская,расстояние_до_проспект_большевиков,расстояние_до_улица_дыбенко,расстояние_до_комендантский_проспект,расстояние_до_старая_деревня,расстояние_до_крестовский_остров,расстояние_до_чкаловская,расстояние_до_спортивная,расстояние_до_адмиралтейская,расстояние_до_садовая,расстояние_до_звенигородская,расстояние_до_обводный_канал,расстояние_до_волковская,расстояние_до_бухарестская,расстояние_до_международная,расстояние_до_дунайская,расстояние_до_проспект_славы,расстояние_до_шушары,group,Subway_station,Time_for_subway,Balcony_1,Balcony_2,Bathroom_1,Bathroom_2,Windows_1,Windows_2,Windows_3,House_type_1,House_type_2,House_type_3,House_type_4,House_type_5
9800000,3.0,73,52.895849960095745,42,15,0.014476959246604,134246.57534246577,0,59.737926,30.461476,1.0,5.0,34.761,33.358,31.401,31.755,30.973,30.385,28.83,26.879,25.584,24.113,24.571,25.042,25.424,26.031,27.553,27.203,26.485,24.887,26.14,39.223,37.674,36.706,34.965,34.633,32.793,30.383,28.965,26.549,26.234,25.424,24.621,23.389,22.324,21.085,19.851,16.348,13.966,39.951,38.061,34.411,30.526,26.02,24.557,22.395,18.137,15.648,14.153,12.318,11.247,26.234,24.736,23.515,22.379,21.947,21.756,20.224,18.991,37.586,36.151,34.347,31.136,30.391,27.35,26.37,25.042,23.334,21.026,19.195,17.306,12.66,15.105,9.662,1.0,0,5,1,0,0,1,1,1,1,0,0,1,0,0
24000000,3.0,85,52.895849960095745,18,17,0.910148403918022,282352.9411764706,3,59.939086,30.343213,3.0,5.0,16.599,13.529,10.079,8.351,7.216,5.098,3.569,2.325,1.953,2.213,1.376,2.547,3.721,6.005,8.679,11.189,12.099,12.838,14.903,14.252,12.544,11.156,9.154,8.735,6.981,4.668,3.299,1.842,2.87,3.721,4.636,5.963,7.194,8.427,10.312,11.783,12.672,16.531,15.075,12.13,7.229,1.231,1.533,4.922,10.105,12.919,16.319,16.213,21.279,2.87,1.246,2.42,4.79,7.715,10.701,13.895,15.962,12.163,11.272,9.996,6.191,5.942,3.13,3.145,2.547,2.767,5.043,6.779,8.641,13.331,10.838,16.558,2.0,12,1,0,0,1,0,0,1,1,0,0,1,0,0
12500000,2.0,55,52.895849960095745,72,14,0.2578232178783324,227272.7272727273,2,60.005504,30.254046,8.0,12.0,21.582,18.537,15.801,12.992,12.475,10.282,11.064,12.619,13.577,14.538,13.553,12.626,12.21,12.038,11.819,14.009,15.377,17.224,18.162,11.195,10.108,8.277,6.953,4.759,5.657,7.705,9.059,11.246,11.406,12.21,13.086,14.492,15.767,17.201,18.951,21.882,23.751,6.081,5.988,6.696,7.493,11.876,13.888,17.119,22.394,25.255,28.631,28.566,33.629,11.406,13.35,14.649,17.019,19.491,22.128,25.484,27.712,0.617,1.79,3.791,6.498,7.245,10.301,11.258,12.626,14.534,16.742,18.602,20.489,25.331,22.808,28.624,1.0,21,0,0,1,0,1,1,0,0,0,0,0,1,0
14200000,1.0,50,32.0,49,1,0.3853365381772917,284000.0,3,59.935831,30.249087,17.0,17.0,25.022,21.787,18.436,15.789,14.827,11.902,11.602,12.088,12.355,12.46,11.019,9.105,8.005,6.45,4.799,6.4,7.734,9.647,10.417,17.354,15.847,13.835,11.636,9.107,7.967,7.702,8.078,8.664,7.974,8.005,8.277,9.077,9.97,11.177,12.574,15.947,18.354,7.711,5.801,2.151,3.327,9.373,11.741,15.156,19.882,22.372,25.781,25.128,30.35,7.974,10.806,11.894,14.991,18.111,21.139,24.255,26.22,8.156,5.995,4.162,5.531,5.028,7.35,7.697,9.105,11.257,12.839,14.521,16.203,20.883,18.485,24.129,2.0,49,4,1,0,1,0,0,0,0,0,1,0,0,0
5500000,0.0,26,14.0,54,10,-0.5631573341914979,211538.4615384616,2,59.838028,30.352169,9.0,25.0,25.649,23.084,20.026,19.107,18.048,16.351,14.778,13.074,11.867,10.299,9.969,9.518,9.491,9.658,11.092,11.046,10.606,9.437,11.298,25.526,23.818,22.384,20.267,19.286,17.348,14.971,13.634,11.177,10.516,9.491,8.509,7.087,5.898,4.614,3.617,0.613,2.771,23.488,21.592,17.94,14.229,10.86,10.376,10.265,10.277,10.868,13.433,11.792,16.587,10.516,10.048,9.205,10.12,12.104,14.274,15.647,16.488,21.616,19.983,18.091,15.217,14.359,11.622,10.574,9.518,8.531,6.473,5.414,4.676,6.504,5.234,9.174,1.0,19,0,1,0,1,0,0,1,1,0,1,0,0,0
8500000,3.0,62,42.7,48,16,-0.1278392629336515,137096.7741935484,0,59.876034,30.387473,1.0,9.0,20.315,17.99,15.229,14.884,13.96,13.021,11.447,9.508,8.205,6.704,7.226,8.121,8.889,10.364,12.819,13.959,14.051,13.532,15.672,22.042,20.428,19.343,17.554,17.295,15.51,13.134,11.717,9.415,9.378,8.889,8.476,7.93,7.655,7.377,7.93,6.363,5.304,23.987,22.27,18.815,14.213,8.803,7.15,5.379,4.63,6.03,9.253,8.379,13.6,9.378,7.407,6.143,5.301,6.492,8.51,10.066,11.207,20.541,19.365,17.77,14.205,13.618,10.424,9.58,8.121,6.128,4.0,2.233,1.117,4.773,2.322,8.006,1.0,30,1,0,0,0,1,1,0,1,0,0,0,1,0
6300000,1.0,35,14.0,43,7,-0.4273557930324365,180000.0,1,59.867448,30.17185,9.0,20.0,36.341,33.109,29.693,27.14,26.129,23.186,22.647,22.694,22.587,22.157,20.676,18.501,17.184,14.866,12.052,10.102,9.945,10.867,9.192,28.562,27.149,25.14,23.029,20.442,19.428,19.001,19.081,18.829,17.782,17.184,16.746,16.451,16.367,16.665,16.756,20.097,23.038,13.739,12.456,11.384,14.475,19.415,21.52,24.516,28.171,30.01,33.135,31.839,36.831,17.782,20.501,21.206,24.325,27.544,30.584,33.286,34.896,18.415,16.416,15.142,16.925,16.269,17.655,17.502,18.501,20.283,20.879,21.977,23.055,26.716,24.872,29.466,1.0,0,5,0,1,1,0,0,1,1,0,1,0,0,0
20500000,3.0,103,52.895849960095745,58,14,0.7525194597144385,198836.08441706875,1,60.031,30.238577,9.0,24.0,22.822,19.969,17.616,14.909,14.595,12.811,13.815,15.512,16.558,17.623,16.72,15.897,15.516,15.336,14.977,17.014,18.364,20.255,21.034,11.317,10.687,9.24,8.707,7.2,8.572,10.81,12.203,14.474,14.688,15.516,16.4,17.804,19.074,20.503,22.238,25.194,27.06,6.306,7.184,9.177,10.77,15.081,16.999,20.129,25.413,28.306,31.65,31.68,36.691,14.688,16.523,17.819,20.041,22.346,24.848,28.207,30.468,3.344,4.974,6.973,9.783,10.555,13.577,14.549,15.897,17.758,19.994,21.853,23.745,28.58,26.056,31.866,1.0,21,4,1,0,0,0,0,0,0,0,1,0,0,0
14000000,2.0,46,52.895849960095745,87,17,0.3711519031853356,301075.2688172043,4,59.942182,30.362958,1.0,4.0,14.942,12.002,8.667,7.471,6.416,5.187,3.632,1.678,0.427,1.339,2.327,4.412,5.706,8.044,10.792,13.202,14.026,14.595,16.722,14.242,12.605,11.511,9.811,9.952,8.414,6.341,5.136,4.06,5.025,5.706,6.442,7.514,8.558,9.589,11.348,12.2,12.571,18.524,17.141,14.296,9.413,3.409,1.516,3.148,8.43,11.337,14.665,14.794,19.721,5.025,2.438,2.532,3.075,5.632,8.55,11.799,13.922,13.74,13.08,11.967,8.158,8.034,5.35,5.309,4.412,3.471,5.165,6.525,8.202,12.543,10.16,15.638,2.0,67,0,0,0,1,0,1,0,1,0,0,1,0,0
16500000,2.0,64,52.895849960095745,43,7,0.535454954476613,257812.5,3,59.857653,30.199213,18.0,19.0,34.526,31.316,27.852,25.431,24.369,21.446,20.729,20.55,20.302,19.715,18.262,16.092,14.781,12.439,9.706,7.386,6.987,7.708,5.965,27.659,26.142,24.132,21.902,19.406,18.145,17.354,17.222,16.629,15.516,14.781,14.207,13.721,13.488,13.658,13.623,16.912,19.856,14.404,12.807,10.832,12.893,17.154,19.117,21.936,25.317,27.038,30.104,28.748,33.697,15.516,18.103,18.687,21.742,24.935,27.942,30.525,32.053,18.028,15.91,14.344,15.438,14.656,15.549,15.247,16.092,17.723,18.104,19.083,20.06,23.582,21.803,26.285,1.0,52,4,0,1,1,0,1,0,1,0,0,1,0,0
