Цена,Количество_комнат,Общая_площадь,Этаж,Ремонт,Отделка,Способ_продажи,Тип_дома,Пассажирский_лифт,Грузовой_лифт,Тип_участия,Широта_Объекта,Долгота_Объекта,комендантский проспект_dist,крестовский остров_dist,шушары_dist,парнас_dist,купчино_dist,улица дыбенко_dist,девяткино_dist,проспект ветеранов_dist,Цена_кв_м,Цена_кв_м_кат,Балкон_или_лоджия_свертка,Вид_сделки_свертка,В_доме_свертка,Двор_свертка,Мебель_свертка,Окна_свертка,Парковка_свертка,Санузел_свертка,Техника_свертка,Тип_комнат_свертка,Возраст_дома,Грузовой_лифт_no_info,Пассажирский_лифт_no_info
9800000,3,73.0,1,косметический,no_info,свободная,кирпичный,0,0,no_info,59.737926,30.461476,37.586,34.347,9.662,39.223,13.966,18.991,34.761,26.14,134246.57534246575,0,1,0,0,1,0,3,0,1,0,1,10,1,1
24000000,3,85.0,3,дизайнерский,no_info,свободная,кирпичный,0,0,no_info,59.939086,30.343213,12.163,9.996,16.558,14.252,12.672,15.962,16.599,14.903,282352.9411764706,3,0,0,0,1,0,2,1,1,0,1,0,1,1
12500000,2,55.0,8,требует ремонта,no_info,альтернативная,панельный,2,0,no_info,60.005504,30.254046,0.617,3.791,28.624,11.195,23.751,27.712,21.582,18.162,227272.72727272726,2,1,0,1,0,1,1,1,1,0,1,30,0,0
14200000,1,50.0,17,требует ремонта,no_info,альтернативная,монолитный,1,1,no_info,59.935831,30.249087,8.156,4.162,24.129,17.354,18.354,26.22,25.022,10.417,284000.0,3,1,0,1,2,0,0,2,1,0,0,13,0,0
5500000,0,26.0,9,косметический,no_info,свободная,монолитный,0,0,no_info,59.838028,30.352169,21.616,18.091,9.174,25.526,2.771,16.488,25.649,11.298,211538.46153846153,2,1,1,1,2,3,2,1,1,2,0,14,1,1
8500000,3,62.0,1,требует ремонта,no_info,альтернативная,панельный,1,0,no_info,59.876034,30.387473,20.541,17.77,8.006,22.042,5.304,11.207,20.315,15.672,137096.7741935484,0,0,1,2,2,0,2,1,1,0,2,53,1,0
6300000,1,35.0,9,требует ремонта,no_info,свободная,монолитный,2,1,no_info,59.867448,30.17185,18.415,15.142,29.466,28.562,23.038,34.896,36.341,9.192,180000.0,1,1,1,0,1,0,2,1,1,0,0,2,0,0
20500000,3,103.1,9,no_info,чистовая,no_info,монолитный,0,0,другое,60.031,30.238577,3.344,6.973,31.866,11.317,27.06,30.468,22.822,21.034,198836.0814742968,1,1,0,0,0,0,0,0,0,0,1,0,1,1
14000000,2,46.5,1,евро,no_info,свободная,кирпичный,0,0,no_info,59.942182,30.362958,13.74,11.967,15.638,14.242,12.571,13.922,14.942,16.722,301075.2688172043,4,0,0,0,1,3,2,1,1,2,1,0,1,1
16500000,2,64.0,18,евро,no_info,свободная,кирпичный,3,0,no_info,59.857653,30.199213,18.028,14.344,26.285,27.659,19.856,32.053,34.526,5.965,257812.5,3,1,0,1,1,0,2,1,1,0,1,0,1,0
20500000,4,164.0,5,требует ремонта,no_info,альтернативная,кирпичный,0,0,no_info,59.925714,30.35243,13.907,11.535,14.754,15.835,10.97,14.686,17.109,14.643,125000.0,0,1,1,0,0,0,0,0,1,0,1,110,1,1
13500000,2,53.0,5,косметический,no_info,свободная,кирпичный,1,0,no_info,59.878116,30.321923,16.114,12.516,13.905,21.031,8.036,18.228,23.384,8.88,254716.98113207548,3,1,1,2,3,3,2,1,1,3,1,69,1,0
14000000,4,70.1,2,евро,no_info,свободная,кирпичный,0,0,no_info,59.941231,30.378184,15.247,13.627,14.775,14.819,12.389,12.272,14.091,17.956,199714.69329529247,1,0,0,0,0,0,1,0,1,0,1,0,1,1
18700000,2,80.5,1,требует ремонта,no_info,свободная,кирпичный,0,0,no_info,59.848384,30.152851,21.337,18.124,31.261,31.539,24.852,37.305,39.28,10.884,232298.13664596275,2,0,1,0,3,0,1,1,1,0,1,0,1,1
4800000,1,30.5,1,дизайнерский,no_info,свободная,панельный,0,0,no_info,59.825153,30.215913,20.932,17.002,24.1,29.9,17.765,31.09,35.532,4.29,157377.04918032786,1,0,0,1,0,3,1,1,1,2,0,54,0,0
7050000,1,39.9,12,косметический,no_info,свободная,кирпичный,1,1,no_info,59.857698,30.246204,16.826,12.767,21.147,25.215,14.722,26.923,30.595,1.8,176691.72932330827,1,1,1,1,1,2,2,1,1,2,0,0,0,0
19689840,3,95.0,10,no_info,предчистовая,no_info,монолитный,0,0,ДДУ по ФЗ 214,59.93314,30.205842,10.235,7.345,28.175,20.581,22.097,30.967,29.395,11.272,207261.47368421053,2,1,0,0,0,0,0,0,0,0,1,0,1,1
12800000,1,40.5,3,дизайнерский,no_info,свободная,кирпичный,0,0,no_info,60.021353,30.289161,3.674,6.42,27.484,7.097,23.361,25.017,17.399,20.375,316049.3827160494,4,1,0,0,1,0,1,3,1,0,0,16,1,1
13550000,5,112.0,6,косметический,no_info,свободная,кирпичный,2,1,no_info,59.943187,30.201153,9.679,7.216,29.15,20.167,23.132,31.607,29.394,12.504,120982.14285714286,0,1,0,2,2,0,2,1,1,0,1,40,0,0
